panel,t_sec,basis,x_bin,y_bin,N,U,L,n,leader_loss_rate
primary,3,raw_twap,"[4,8)","[0,2)",192,0,0,192,0
primary,3,raw_twap,"[4,8)",>=2,84,0,0,84,0
primary,3,raw_twap,"[8,infinity)",<-2,79,0,0,79,0
primary,3,raw_twap,"[8,infinity)","[-2,0)",139,0,0,139,0
primary,3,raw_twap,"[8,infinity)","[0,2)",182,0,0,182,0
primary,3,raw_twap,"[8,infinity)",>=2,130,0,0,130,0
primary,3,projected_close,"[0,1)",<-2,10,0,0,10,0
primary,3,projected_close,"[0,1)","[-2,0)",112,0,0,112,0
primary,3,projected_close,"[0,1)","[0,2)",107,0,1,107,0.0093457943925233644859813084112149532710280373831775700934579439252336448598130841
primary,3,projected_close,"[0,1)",>=2,17,0,0,17,0
primary,3,projected_close,"[1,2)",<-2,33,0,0,33,0
primary,3,projected_close,"[1,2)","[-2,0)",101,0,0,101,0
primary,3,projected_close,"[1,2)","[0,2)",108,0,0,108,0
primary,3,projected_close,"[1,2)",>=2,15,0,0,15,0
primary,3,projected_close,"[2,4)",<-2,29,0,0,29,0
primary,3,projected_close,"[2,4)","[-2,0)",151,0,0,151,0
primary,3,projected_close,"[2,4)","[0,2)",182,0,0,182,0
primary,3,projected_close,"[2,4)",>=2,27,0,0,27,0
primary,3,projected_close,"[4,8)",<-2,42,0,0,42,0
primary,3,projected_close,"[4,8)","[-2,0)",178,0,0,178,0
primary,3,projected_close,"[4,8)","[0,2)",207,0,0,207,0
primary,3,projected_close,"[4,8)",>=2,74,0,0,74,0
primary,3,projected_close,"[8,infinity)",<-2,73,0,0,73,0
primary,3,projected_close,"[8,infinity)","[-2,0)",153,0,0,153,0
primary,3,projected_close,"[8,infinity)","[0,2)",188,0,0,188,0
primary,3,projected_close,"[8,infinity)",>=2,118,0,0,118,0
fresh_3s,60,raw_twap,"[0,1)",<-2,30,0,26,30,0.86666666666666666666666666666666666666666666666666666666666666666666666666666667
fresh_3s,60,raw_twap,"[0,1)","[-2,0)",123,0,65,123,0.52845528455284552845528455284552845528455284552845528455284552845528455284552846
fresh_3s,60,raw_twap,"[0,1)","[0,2)",119,0,18,119,0.15126050420168067226890756302521008403361344537815126050420168067226890756302521
fresh_3s,60,raw_twap,"[0,1)",>=2,18,0,1,18,0.055555555555555555555555555555555555555555555555555555555555555555555555555555556
fresh_3s,60,raw_twap,"[1,2)",<-2,30,0,24,30,0.8
fresh_3s,60,raw_twap,"[1,2)","[-2,0)",98,0,19,98,0.19387755102040816326530612244897959183673469387755102040816326530612244897959184
fresh_3s,60,raw_twap,"[1,2)","[0,2)",108,0,4,108,0.037037037037037037037037037037037037037037037037037037037037037037037037037037037
fresh_3s,60,raw_twap,"[1,2)",>=2,22,0,0,22,0
fresh_3s,60,raw_twap,"[2,4)",<-2,37,0,24,37,0.64864864864864864864864864864864864864864864864864864864864864864864864864864865
fresh_3s,60,raw_twap,"[2,4)","[-2,0)",142,0,16,142,0.11267605633802816901408450704225352112676056338028169014084507042253521126760563
fresh_3s,60,raw_twap,"[2,4)","[0,2)",176,0,9,176,0.051136363636363636363636363636363636363636363636363636363636363636363636363636364
fresh_3s,60,raw_twap,"[2,4)",>=2,50,0,1,50,0.02
fresh_3s,60,raw_twap,"[4,8)",<-2,52,0,16,52,0.30769230769230769230769230769230769230769230769230769230769230769230769230769231
fresh_3s,60,raw_twap,"[4,8)","[-2,0)",145,0,4,145,0.027586206896551724137931034482758620689655172413793103448275862068965517241379310
fresh_3s,60,raw_twap,"[4,8)","[0,2)",215,0,2,215,0.0093023255813953488372093023255813953488372093023255813953488372093023255813953488
fresh_3s,60,raw_twap,"[4,8)",>=2,87,0,0,87,0
fresh_3s,60,raw_twap,"[8,infinity)",<-2,87,0,3,87,0.034482758620689655172413793103448275862068965517241379310344827586206896551724138
fresh_3s,60,raw_twap,"[8,infinity)","[-2,0)",113,0,1,113,0.0088495575221238938053097345132743362831858407079646017699115044247787610619469027
fresh_3s,60,raw_twap,"[8,infinity)","[0,2)",127,0,0,127,0
fresh_3s,60,raw_twap,"[8,infinity)",>=2,115,0,0,115,0
fresh_3s,60,projected_close,"[0,1)",<-2,0,0,0,0,
fresh_3s,60,projected_close,"[0,1)","[-2,0)",0,0,0,0,
fresh_3s,60,projected_close,"[0,1)","[0,2)",275,0,83,275,0.30181818181818181818181818181818181818181818181818181818181818181818181818181818
fresh_3s,60,projected_close,"[0,1)",>=2,0,0,0,0,
fresh_3s,60,projected_close,"[1,2)",<-2,0,0,0,0,
fresh_3s,60,projected_close,"[1,2)","[-2,0)",0,0,0,0,
fresh_3s,60,projected_close,"[1,2)","[0,2)",218,0,34,218,0.15596330275229357798165137614678899082568807339449541284403669724770642201834862
fresh_3s,60,projected_close,"[1,2)",>=2,0,0,0,0,
fresh_3s,60,projected_close,"[2,4)",<-2,0,0,0,0,
fresh_3s,60,projected_close,"[2,4)","[-2,0)",0,0,0,0,
fresh_3s,60,projected_close,"[2,4)","[0,2)",402,0,27,402,0.067164179104477611940298507462686567164179104477611940298507462686567164179104478
fresh_3s,60,projected_close,"[2,4)",>=2,0,0,0,0,
fresh_3s,60,projected_close,"[4,8)",<-2,0,0,0,0,
fresh_3s,60,projected_close,"[4,8)","[-2,0)",0,0,0,0,
fresh_3s,60,projected_close,"[4,8)","[0,2)",491,0,7,491,0.014256619144602851323828920570264765784114052953156822810590631364562118126272912
fresh_3s,60,projected_close,"[4,8)",>=2,0,0,0,0,
fresh_3s,60,projected_close,"[8,infinity)",<-2,0,0,0,0,
fresh_3s,60,projected_close,"[8,infinity)","[-2,0)",0,0,0,0,
fresh_3s,60,projected_close,"[8,infinity)","[0,2)",508,0,1,508,0.0019685039370078740157480314960629921259842519685039370078740157480314960629921260
fresh_3s,60,projected_close,"[8,infinity)",>=2,0,0,0,0,
fresh_3s,30,raw_twap,"[0,1)",<-2,21,0,20,21,0.95238095238095238095238095238095238095238095238095238095238095238095238095238095
fresh_3s,30,raw_twap,"[0,1)","[-2,0)",115,0,45,115,0.39130434782608695652173913043478260869565217391304347826086956521739130434782609
fresh_3s,30,raw_twap,"[0,1)","[0,2)",128,0,4,128,0.03125
fresh_3s,30,raw_twap,"[0,1)",>=2,14,0,0,14,0
fresh_3s,30,raw_twap,"[1,2)",<-2,26,0,23,26,0.88461538461538461538461538461538461538461538461538461538461538461538461538461538
fresh_3s,30,raw_twap,"[1,2)","[-2,0)",70,0,7,70,0.1
fresh_3s,30,raw_twap,"[1,2)","[0,2)",94,0,0,94,0
fresh_3s,30,raw_twap,"[1,2)",>=2,40,0,1,40,0.025
fresh_3s,30,raw_twap,"[2,4)",<-2,39,0,17,39,0.43589743589743589743589743589743589743589743589743589743589743589743589743589744
fresh_3s,30,raw_twap,"[2,4)","[-2,0)",150,0,1,150,0.0066666666666666666666666666666666666666666666666666666666666666666666666666666667
fresh_3s,30,raw_twap,"[2,4)","[0,2)",180,0,0,180,0
fresh_3s,30,raw_twap,"[2,4)",>=2,47,0,0,47,0
fresh_3s,30,raw_twap,"[4,8)",<-2,58,0,5,58,0.086206896551724137931034482758620689655172413793103448275862068965517241379310345
fresh_3s,30,raw_twap,"[4,8)","[-2,0)",147,0,0,147,0
fresh_3s,30,raw_twap,"[4,8)","[0,2)",192,0,0,192,0
fresh_3s,30,raw_twap,"[4,8)",>=2,77,0,0,77,0
fresh_3s,30,raw_twap,"[8,infinity)",<-2,87,0,0,87,0
fresh_3s,30,raw_twap,"[8,infinity)","[-2,0)",112,0,0,112,0
fresh_3s,30,raw_twap,"[8,infinity)","[0,2)",155,0,0,155,0
fresh_3s,30,raw_twap,"[8,infinity)",>=2,135,0,0,135,0
fresh_3s,30,projected_close,"[0,1)",<-2,0,0,0,0,
